Date,Open,High,Low,Close,Adj Close,Volume
2015-03-02,51580.000000,51580.000000,49779.000000,49981.000000,49981.000000,14714900
2015-03-09,49978.000000,49978.000000,47905.000000,48596.000000,48596.000000,19881900
2015-03-16,48602.000000,52286.000000,48394.000000,51967.000000,51967.000000,19808600
2015-03-23,51970.000000,52319.000000,49909.000000,50095.000000,50095.000000,19174800
2015-03-30,50100.000000,53312.000000,50100.000000,53123.000000,53123.000000,14987800
2015-04-06,53124.000000,54458.000000,53122.000000,54214.000000,54214.000000,19610900
2015-04-13,54214.000000,54960.000000,53773.000000,53955.000000,53955.000000,19147200
2015-04-20,53965.000000,56965.000000,53510.000000,56594.000000,56594.000000,16905700
2015-04-27,56554.000000,56962.000000,54973.000000,56229.000000,56229.000000,16772800
2015-05-04,56230.000000,58575.000000,56230.000000,57149.000000,57149.000000,18470800
2015-05-11,57166.000000,57490.000000,56105.000000,57249.000000,57249.000000,15229800
2015-05-18,57250.000000,57606.000000,54038.000000,54377.000000,54377.000000,17272900
2015-05-25,54378.000000,54868.000000,52760.000000,52760.000000,52760.000000,16872200
2015-06-01,52753.000000,54254.000000,52666.000000,52973.000000,52973.000000,12198000
2015-06-08,52975.000000,54271.000000,52688.000000,53348.000000,53348.000000,15321000
2015-06-15,53338.000000,54352.000000,52548.000000,53749.000000,53749.000000,14494400
2015-06-22,53750.000000,54361.000000,52879.000000,54017.000000,54017.000000,13651100
2015-06-29,54013.000000,54013.000000,52370.000000,52519.000000,52519.000000,12782400
2015-07-06,52511.000000,52786.000000,51130.000000,52591.000000,52591.000000,11671400
2015-07-13,52591.000000,53417.000000,52221.000000,52342.000000,52342.000000,12397900
2015-07-20,52341.000000,52424.000000,48624.000000,49246.000000,49246.000000,16514900
2015-07-27,49246.000000,50895.000000,48640.000000,50865.000000,50865.000000,17776900
2015-08-03,50867.000000,50867.000000,48512.000000,48577.000000,48577.000000,14804900
2015-08-10,48578.000000,49512.000000,47508.000000,47508.000000,47508.000000,16430000
